Date_Scraped,Video_ID,Channel_Name,Video_Title,View_Count,Like_Count,Comment_Count
2025-11-23,cGiGis941Bs,BAHGNA TV,Melake Abraham _ New Eritrean music 2025 _መልኣከ ኣብርሃም _ Kdmieki ystihani  -  (Official video),244905,14942,1810
2025-11-23,n-XabvJj-WQ,BAHGNA TV,HoneyBee - Yorsaliem _ ዮርሳሌም - New Eritrean music 2025 (Official video),123519,2138,156
2025-11-23,AzkWSoBt7aQ,BAHGNA TV,New Eritrean music 2025 - Yohannes Feshazion ( John Rasta) በልኒ - Belni (official video),7959,221,18
2025-11-23,3ADP3Lhui9g,BAHGNA TV,ምስጋና ካብ ስነ-ጥበባዊት ሸዊት ሰረቀ ❤️,4265,285,14
2025-11-23,flLEI-ui9IA,BAHGNA TV,ርሑስ ቅንያት ኣውድኣመት ❤️ #bahgnatv,7214,238,9
2025-11-23,h-DeGH8TZ9M,BAHGNA TV,"🚨 Gerechaley is trending on TIKTOK, over 13k videos have been made so far‼️❤️ Check it out",19988,322,3
2025-11-23,8Pl1pK5yVXY,BAHGNA TV,Mxni’ndo - Thansk for watching ❤️ #eritreanmusic #alektewelde #bahgnatv,6972,163,3
2025-11-23,fakpHMkGtWE,BAHGNA TV,Bereket Beramu remix of Alex Kahsay 🔥🔥🔥 #bahgnatv #beramu #shewitsereqe #eritreanmusic,17357,532,14
2025-11-23,aZU0z-e602I,BAHGNA TV,Gerechaley - Aregawi Tesfay (WEDI BABU),50290,982,16
2025-11-23,Z2Cz6DNTbmI,BAHGNA TV,Aregawi Tesfay (WEDI BABU) _ GERECHALEY _ New Tigrigna music 2025 - ገረቻዓለይ ,2805010,17958,925
2025-11-23,zmmAtmKtsEw,BAHGNA TV,Alek Tewelde _ New Eritrean music 2025 _ ምጽኒ'ንዶ - Mxni'ndo (Official video),1672312,11581,624
2025-11-23,KFec1dxcCig,BAHGNA TV,Deme - Natnael Leta 🔥 #ethiopianmusic,6228,90,0
2025-11-23,USn65A1qpS4,BAHGNA TV,Deme - New Ethiopian music 2025 - Natnael Leta - Deme (Official video),347861,3576,158
2025-11-23,yoWsvFb_BGY,BAHGNA TV,New Eritrean music 2025 _ Dawit Ghebresenbet _ best songs of Dawit Shilan _ Eritrean Show,390844,2143,89
2025-11-23,Iu9r1lCTCw0,BAHGNA TV,Bereket Beramu 🔥🔥🔥 #eritreanmusic,16560,362,4
2025-11-23,OL4zqI6YzLU,BAHGNA TV,ኣይጠዓኹን _ Ⓐⓨⓣⓔⓐⓚⓤⓝ :ᴀʙɪᴇʟ ʙᴇǫᴇᴍ - ᴀʏᴛᴇᴀᴋᴜɴ sᴏᴏɴ ᴏɴ ᴅᴇᴍʙᴇɴᴀ,25548,714,11
2025-11-23,DlULhGvpXHY,BAHGNA TV,ሮዛየ ❤️ #eritreanmusic #dawitshilan  #bahgnatv,21321,489,14
2025-11-23,hWwvUhLBgr4,BAHGNA TV,ሮዛ - Dawit Ghebresenbet (Shilan) - Roza _ New Eritrean music 2025 (Official video),178677,1646,102
2025-11-23,llLwyedz-VU,BAHGNA TV,Dawit Shilan - Mchiwtey 🤌🏾 #eritreanmusic #dawitshilan #bahgnatv,59487,1412,22
2025-11-23,Bsy1doKpJyo,BAHGNA TV,Mchiwtey ❤️ - Dawit Shilan,87651,1736,39
2025-11-23,jCpmlvsXhHg,BAHGNA TV,ምጭውተይ - Dawit Ghebresenbet (Shilan) - Mchiwtey _ New Eritrean music 2025 (Official video),1291177,8237,435
2025-11-23,Nxer1zwvLAI,BAHGNA TV,ጽምዋ'ዩ - Dawit Ghebresenbet (Shilan) - Ximwa u _ New Eritrean music 2025 (Official video),221430,2483,167
2025-11-23,n--bQfAD4rY,BAHGNA TV,Shilan Shikor ❤️ #eritreanmusic #dawitshilan #bahgnatv,138733,3489,65
2025-11-23,z0TAAlb_z2U,BAHGNA TV,ሽኮር - Dawit Ghebresenbet ( Shilan) Remix of Abrar Osman _ Shikor _ New Eritrean music 2025,3119098,19410,1530
2025-11-23,1igNffahwU4,BAHGNA TV,New Eritrean music 2025 _ GUAL ADEY _ Mussie Isak _ ሙሴ ኢሳቅ (Official video),4551,174,29
